Finglish	Persian
maa iraani haa savaare yek keshti hastim amaa to moraaghebe ghaayeghe tashrifaatet baash.	ما ایرانیها سوار یک کشتی هستیم اما تو مراقب قایق تشریفاتت باش
delam nemikhaad beram doktor, mitarsam chizi baashe va baazam dardesaraa shoroo beshe.	دلمم نمیخاد برم دکتر،میترسم چیزی باشه وبازم دردسرا شروع بشه
to az kojaa midooni nagoftan?	تو از کجا می دونی نگفتن؟
fekr konam oon faraar kard.	فکر کنم اون فرار کرد
ye chizaayi ro yaadam rafte.	یه چیزایی رو یادم رفته
khob shoroo kon va negaah kon.	خوب شروع کن و نگاه کن
cheraa daaram be to migam?	چرا دارم به تو می گم؟
khodaa ro shokr ke iraan injoori nist vagarna alaan hamamoon bacheye talaagh boodim.	خداروشکر که ایران اینجوری نیست وگرنه الان هممون بچه ی طلاق بودیم
baahaash kaari nadaashte baash.	باهاش کاری نداشته باش
bebin emshab che kaarei?	ببین امشب چه کاره ای؟
sag haaye sangish gofte boodam.	سگهای سنگیش گفته بودم
serfe pool dar aavardan nist, balke eslaahaat dat mohite zist va ejtemaa ast.	صرف پول درآوردن نیست، بلکه اصلاحات در محیط زیست و اجتماع است
aaghaa in avale sobhi che doaayi ro pishnahaad midi behemoon?	اقا این اول صبحی چه دعایی رو پیشنهاد میدی بهمون؟
gooyi har rooz khabare digari az soo estefaade az ghodrat be gooshemaan miresad.	گویی هر روز خبر دیگری از سوءاستفاده از قدرت به گوشمان میرسد
dige in kaaro nemikonim.	دیگه این کارو نمی کنیم
azizam negaraan nabaash.	عزیزم نگران نباش
chand vaghte ino midooni?	چند وقته اینو میدونی؟
sharmande hame vaghteshoon pore.	شرمنده همه وقتشون پره
hey, mitoonam komak konam?	هی ، می تونم کمک کنم ؟
mayaazaar moori ke daane kesh ast.	میازار موری که دانه کش است
kheyli khob, hame bidaar beshan.	خیلی خوب، همه بیدار بشن
oh na na hame chiz khoobe.	اوه نه نه همه چیز خوبه
haalemoon khoobe, mage na?	حالمون خوبه ، مگه نه؟
va moshtaagham tamaame emshab raa baraaye bayaane joziyaate aan dar khedmate shomaa baasham.	و مشتاقم تمام امشب را برای بیان جزئیات آن در خدمت شما باشم
in chand rooze baayad be tarze vahshatnaaki naghshe ye aadame shaad va khoshhaal ro baazi konam.	این چند روزه باید به طرز وحشتناکی نقش یه آدم شاد و خوشحال رو بازی کنم
yani shomaa nemidooni? naa salaamati dast be ghalamam haa. khoob neveshtano migam dige.	یعنی شما نمی دونی؟ ناسلامتی دست به قلمم ها. خوب نوشتنو میگم دیگه.
ke arzesh haaye aanhaa motaabegh baa shomaa nist.	که ارزشهای آنها مطابق با شما نیست
agar idehaaye aali daashte baasham, in ide raa enekaas dahid.	اگر ایدهای عالی داشته باشم، این ایده را انعکاس دهید
chiye setaare donbaale daar?	چیه ستاره دنباله دار؟
oon ye doost dokhtar daare.	اون یه دوست دختر داره
to ham kheyli taghir paziri.	تو هم خیلی تغییر پذیری
che midoonam. donbaale ghodsi raftan baazaar.	چه میدونم. دنبال قدسی رفتن بازار.
paasokh daad: dar in nazdiki cheshmeye aabi hast va man moratab noke khod raa por az aab mikonam va aan raa rooye aatash mirizam.	پاسخ داد : در این نزدیکی چشمه آبی هست و من مرتب نوک خود را پر از آب می کنم و آن را روی آتش می ریزم !
fekr kardi nim kiloo chaagh shodi maa azat mitarsim?	فکر کردی نیم کیلو چاق شدی ما ازت می ترسیم؟
dast be delash migirad va be zamin mioftad kaaram tamoome.	دست به دلش می گیرد و به زمین می افتد کارم تمومه.
nashnidi sedaaye esfandiyaar ro?	نشنیدی صدای اسفندیار رو؟
ye doosti daarim ke khaanoomesh haamele shod va chon kasi ro too in shahr nadaashtan maamaanam raft bimaarestaan va moond pishesh.	یه دوستی داریم که خانومش حامله شد و چون کسی رو تو این شهر نداشتن مامانم رفت بیمارستان و موند پیشش
az aan lahze dar mohite kaaram, ehsaas mikonam kaamelan tanhaa, baakhte va bedoon poshtibaan hastam.	از آن لحظه در محیط کارم، احساس میکنم کاملاً تنها، باخته و بدون پشتیبان هستم
midoonin ke khaabe rooze daar ebaadate.	میدونین که خواب روزه دار عبادته
shiveye amal kardane aan haa salb kardan ast yaa hedaayate pool be sarmaaye haaye motamarkez dar aatefi ast.	شیوه عمل آنها سلب کردن است یا هدایت پول به سرمایههای متمرکز در عاطفی است
chand taa mesaal mizanam azash.	چندتامثال میزنم ازش
va shomaa aanjaa neshastid dar haali ke tooye dahaanetaan pore chips ast.	و شما آنجا نشستید در حالی که توی دهانتان پر چیپس است
baraabare rasme khaanevaade haaye bozorge make mohamad raa be daayei be naame halime sepord.	برابر رسم خانواده های بزرگ مکه محمد را به دایه ای به نام حلیمه سپرد.
man zire eyvoonetoon ghaayem shodam chon doosetoon daarami.	من زیر ایوونتون قایم شدم چون دوستون دارمی
too in ayaam baashgaah ham raftam va gharaare ye etefaaghaaye khoobi baraaye varzesham biyofte taabestoon.	تو این ایام باشگاه هم رفتم و قراره یه اتفاقای خوبی برای ورزشم بیفته تابستون
oon az bastani dorost nashode.	اون از بستنی درست نشده
eshghe khaalesaaneye pedar be farzand be revaayate tasvir.	عشق خالصانه پدر به فرزند به روایت تصویر
age mishe piyaade berim too raah behetoon migam manam ghabool kardam.	اگه میشه پیاده بریم تو راه بهتون میگم منم قبول کردم
to donbaale khoonevaadat oomadi.	تو دنبال خانوادت اومدی
inaaro dar haali anjaam midaadim ke baaham ghahr boodim.	اینارو در حالی انجام میدادیم که باهم قهر بودیم
baayad be ahdaafe tose'e paaydaar dar miyaane marz haaye sayaarei dast yaabim.	باید به اهداف توسعه پایدار در میان مرزهای سیارهای دست یابیم
moosh? aare. jigh mikeshad na.	موش ؟ آره .جیغ می کشد نه
dovom taghire sari be samte sisteme ghazaayiye paaydaar ast.	دوم تغییر سریع به سمت سیستم غذایی پایدار است
mitavaanim in kaar raa bokonim?	میتوانیم اینکار را بکنیم؟
bekhodaa mardaaye dore shomaa hame chizeshoon vazine.	بخدا مردای دوره شما همه چیزشون وزینه.
na man inaa ro azat shenidam.	نه من این رو ازت شنیدم
albate ke to dorost migi.	البته که تو درست میگی
migooyim aan bakhsh az porozhe dar folaan jaa ke aafraade motanavei rooye aan kaar mikonand.	میگوییم آن بخش از پروژه در فلان جا که افراد متنوعی روی آن کار میکنند
vaaghean pashmaam az in kilip, vaaghean pashmaam az in nasle jadid.	واقعا پشمام از این کلیپ، واقعا پشمام از این نسل جدید
raas, baavaram nemishe gofti.	راس ، باورم نمیشه گفتی
befarmaayid ghazaatoono meyl konid.	بفرمایید غذاتون میل کنید
bache haa, khaahesh mikonam.	بچه ها ، خواهش می کنم
hanooz chand satri naneveshte boodam ke, yeki az rofaghaaye zendaan jelom sabz shod, kenaare takht neshast.	هنوز چند سطری ننوشته بودم که، یکی از رفقای زندان جلوم سبز شد، کنار تخت نشست
aare va mamnoon misham.	آره و ممنون میشیم
nemidoonam badehaa gharaare dobaare biyaad va baraaye hamishe bemoone yaa na.	نمیدونم بعدها قراره دوباره بیاد و برای همیشه بمونه یانه
vaghti baa man harf nemizane.	وقتی با من حرف نمی زنه
ann haa baayad ertebaate roshani beyne amalkarde aatefi va amalkarde maaliye khod eraae dahand.	آنها باید ارتباط روشنی بین عملکرد عاطفی و عملکرد مالی خود ارائه دهند
va maa do emtiyaaz aghabim.	.و ما دو امتیاز عقبیم
aaroom! cheraa daad mizani?! goftam ke aaghaa esfandiyaar khaabe.	اروم! چرا داد می زنی؟! گفتم که اقا اسفندیار خوابه!
anjaam bedid moredi nadaare.	انجام بدید موردی نداره
goft: chegoone man ham niki gam konam.	گفت: چگونه من هم نیکی جمع کنم
saaheb joon, naaraahat nabaashin.	صاحب جون، ناراحت نباشین
hataa shab neshini ham be nodrat daashtim.	حتی شب نشینی هم به ندرت داشتیم
va albate chaalesh haa be ghovate khod baaghi ast.	و البته چالشها بقوت خود باقی است
pas mishe befarmaaid dalile in eghteshaashaat va sar o sedaa haa chiye?	پس میشه بفرمائید دلیل این اغتشاشات و سر و صداها چیه؟
faghat soorat hesaab, lotfan.	فقط صورت حساب ، لطفاً
vaay shaam aali bood mersi.	وای شام عالی بود مرسی
zabaane man raa bedaanid taa betavaanid malooliyatam, nezhaadam va mazhabam raa tosif konid.	زبان من را بدانید تا بتوانید معلولیتم، نژادم و مذهبم را توصیف کنید
mage in ke ye harfi bezani.	مگه اینکه یه حرفی بزنی
baraam kheyli ajib bood, mage mard baayad ejaaze bede ke sare kaar nare!!!	برام خیلی عجیب بود،مگه مرد باید اجازه بده که سرکار نره!!!
hame midoonan ki bardaasht.	همه می دونن کی برداشت.
sedaaye taraghe ham miyoomad va har dafe ke taraghe mizadan chort sageshoon ro paare mikard va az khaab miparidand.	صدای ترقه هم میومد و هر دفه که ترقه میزدن چرت سگشون رو پاره میکرد و از خواب میپرید
beyne do nime sari shaam khordim man aslan nafahmidam chi mikhoram.	بین دو نیمه سریع شام خوردیم من که اصلا نفهمیدیم چی میخورم
be vaght khoob pish nayoomade.	یه وقت خوب پیش نیومده
raast migan be khodaa darde manam hast man sad dafe goftam behesh.	راست می گن بخدا درد منم هست من صد دفعه گفتم بهش
mage nemidooni man taa sobh kaar mikonam?	مگه نمی دونی من تا صبح کار می کنم؟
vali kasi delash baraaye iraan va iraani nasookhte ke bekhaad az in kaaraa bokone, oonvaght dige ki dozdi kone??	، ولی کسی دلش برای ایران و ایرانى نسوخته كه بخواد از اینكارا بكنه، اونوقت دیگه كى دزدى كنه؟؟
kaaylaa ghaabeliyate etesaal be shabakeye jahaani va daaraaye teknolozhiye tashkhise sedaa bood.	کایلا قابلیت اتصال به شبکه جهانی و دارای تکنولوژی تشخیص صدا بود
javaabesho daadam goftam tooye jalase hastam. badan zang bezane.	جوابشو دادم گفتم توی جلسه هستم. بعداً زنگ بزنه.
baashe man behet zang mizanam.	باشه من بهت زنگ می زنم
naadaani tavaanaayi ast.	نادانی توانایی است
va agar har kodaam az in noghaate tamaas raa be khoobi modiriyat mikard, baaes mishod kaarkonaan ehsaase arzesh konand.	و اگر هر کدام از این نقاط تماس را به خوبی مدیریت میکرد، باعث میشد کارکنان احساس ارزش کنند
eybi nadaare moshkeli nist.	عیبی نداره. مشکلی نیست
goft az doostam medaad gereftam be oo goftam: khoobe, doostet az to chizi nakhaast? khoraaki chizi.	گفت از دوستم مداد گرفتم به او گفتم: خوبه ، دوستت از تو چیزی نخواست؟ خوراکی چیزی
doktore dastesh behesh mirese.	دکتره دستش بهش می رسه
kholaase baa maashin oomad donbaale man va maamaan va raftim markaze kharid.	خلاصه با ماشین اومد دنبال من و مامان و رفتیم مرکز خرید.
boodi azat zoor giri kard?	بودی ازت زورگیری کرد ؟
taa aan kaar raa bepazirand taa forsat haaye jadidi bedast aavarand.	تا آن کار را بپذیرند تا فرصتهای جدیدی بدست آورند
pas hich mojezei nabood?	پس هیچ معجزه ای نبود ؟
cheghadr faasele haa ziyaad shode too in donyaaye por harj o marj.	چقدر فاصله ها زیاد شده تو این دنیای پر هرج و مرج
in moshkelaat daashtand etemaad be nafs, tavaane rahbari va khalaaghiyatam raa tahlil mibordand.	این مشکلات داشتند اعتماد به نفس، توان رهبری و خلاقیتم را تحلیل میبردند
va pit ham divooneye mane.	.و پیت هم دیوونه منه
banaa bar in shomaa az kojaa shoroo mikonid?	بنابراین شما از کجا شروع میکنید؟
va aan haayi ke dar madrese hastand ehsaas mikonand ke mahaarat haaye dorost raa nemiaamoozand.	و آنهایی که در مدرسه هستند احساس میکنند که مهارتهای درست را نمیآموزند
do del baraaye raftan, dast be shekamash mizanad fekr konam beshe felan tahamolesh kard.	دو دل برای رفتن، دست به شکمش می زند فکر کنم بشه فعلاً تحملش کرد.
be khaatere faraar az tanhaayi ye mojoodi ro vaarede in donyaa bokonam.	به خاطر فرار ازتنهایی یه موجودی رو وارد این دنیا بکنم
dafeye dige haalam bad beshe maloom nist che balaayi saram biyaad.	دفعه دیگه حالم بد بشه معلوم نیست چه بلایی سرم بیاد.
said mige mikhaad hasano asir kone.	سعید میگه می خواد حسن اسیر کنه
khoobe in ehsaase khoobiye.	خوبه، این احساس خوبیه
aasiyaabaan goft: to ke chenin mostagaabodava hasti doaa kon gandomat aard shavad.	اسیابان گفت: تو که چنین مستجاب الدعوه هستی دعا کن گندمت ارد بشود
agar baa hamin ravand edaame dahim mesle emrooz, mitavaanim barkhi az ahdaafe toseeye paaydaar raa mohaghagh konim.	اگر با همین روند ادامه دهیم مثل امروز، میتوانیم برخی از اهداف توسعه پایدار را محقق کنیم
chi, masale sen ro migi?	چی ، مسئله سن رو میگی؟
tehraan miyaan dige.	.تهران میان دیگه
-mota'asefam. in kaaro kardam.	متاسفم. این کارو کردم-
base dige dige harf nazan.	بسه دیگه دیگه حرف نزن
key man in harf ro zadam?	کی من این حرف رو زدم؟
az chaale man estefaade koni.	از چاله من استفاده کنی
oon moghe tanhaa raahe aavardanash az etyopi bood.	اون موقع تنها راه اوردنش از اتیوپی بود
shast saalegi chehel saalegiye jadid ast, az lahaaze badani.	شصت سالگی چهل سالگی جدید است، از لحاظ بدنی
baa aanhaayi ke biyaadebi raa tajrobe nakarde boodand moghaayese kardam.	با آنهایی که بیادبی را تجربه نکرده بودند مقایسه کردم
va maa, shahrvandaan? maa mitavaanim az sedaayemaan estefaade konim.	و ما، شهروندان؟ ما میتوانیم از صدایمان استفاده کنیم
aghlab be yekdigar etemaade kaafi nadaarim.	اغلب به یکدیگر اعتماد کافی نداریم
naazanin vaghti ke boodi shabaa ham to ro mididam.	نازنین وقتی که بودی شبا هم تو رو می دیدم
mesle ye joor koshti gereftane.	مثل یه جور کشتی گرفتنه
ye zan too in gorbe hast?	یه زن تو اون گربه هست؟
ozr mikhaaham, baayad beravam.	عذر میخواهم،باید برم
vali in ide haa va barnaame haa faghat yek shoroo ast.	ولی این ایدهها و برنامه فقط یک شروع است
javaanaan hamchenin be man migooyand negaraanand ke mahaarathaaye laazem raa aamoozesh nabinand.	جوانان همچنین به من میگویند نگرانند که مهراتهای لازم را آموزش نبینند
age mishe nashnide begirid.	اگه میشه نشنیده بگیرید
in dar nahaayat masooliyate maast.	این در نهایت مسئولیت ماست
zende too aatish besoozid?	زنده تو آتیش بسوزید ؟
az hameye raah haaye dige.	از همهی راههای دیگه
chetor in etefaagh oftaad.	چطور این اتفاق افتاد؟
maa ide haaye riz o dorosht niyaaz daarim, ide haaye mahali va jahaani.	ما ایدههای ریز و درشت نیاز داریم، ایدههای محلی و جهانی
chizi ke man az tahghigham midaanam in ast ke.	چیزی که من از تحقیقم میدانم این است که
hich idei nadaashtam raje be che harf mizanand.	هیچ ایدهای نداشتم راجع به چه حرف میزند
neshoone komak be saalmandaan ro hanooz nagereftam.	نشون کمک به سالمندان رو هنوز نگرفتم
ke be maa emkaane tahaghoghe ahdaafe toseye paaydaar mesle jensiyat, naabaraabaritoseye eghtesaadi va shahri raa bedahad.	که به ما امکان تحقق اهداف توسعه پایدار مثل جنسیت، نابرابری توسعه اقتصادی و شهری را بدهد
baayad bad az in ke rafti.	باید بعد از اینکه رفتی
hodoode saa'at dah kojaa boodi?	حدود ساعت ده کجا بودی؟
pesarak baa ta'ajob be medaad negaah kard va chize khaasi dar aan nadid.	پسرک با تعجب به مداد نگاه کرد و چیز خاصی در ان ندید
dar kaar, dar khaane, dar internet, dar madaares va dare javaamee khodemaan.	درکار، در خانه، در اینترنت، در مدارس و در جوامع خودمان
shaayad taa haalaa nashnidi ke.	شاید تا حالا نشنیدی که
dar haali ke yek mosaahebeye khoob mitavaanad zendegiye kasi raa baraaye abad behbood bakhshad.	در حالیکه یک مصاحبه خوب میتواند زندگی کسی را برای ابد بهبود بخشد
az man door sho goftam na.	از من دور شو گفتم نه
nemitoonim baa ham baashim.	.نمیتونیم با هم باشیم
na, oon naa pedariye man hast.	نه، اون ناپدری من هست
asre delneshini daashte baashi.	عصر دلنشینی داشته باشی
mikhaay chikaar koni?	می خوای چیکار کنی ؟
pooreye loobiyaa khord behem.	پوره ی لوبیا خورد بهم
aan marde roostaayi chizi raa midaanest ke besyaari az maa nemidaanim.	ان مرد روستایی چیزی را می دانست که بسیاری از ما نمی دانیم
mamooli yaa bedoone kaafein?	معمولی یا بدون کافئین؟
vali hich etefaaghi nayoftaad.	.ولی هیچ اتفاقی نیفتاد
dar haale haazer dar lige yeke torkiye hasht baazi anjaam daadim.	در حال حاضردر لیگ یک ترکیه هشت بازی انجام دادیم
man baayad az injaa beram!	!من باید از اینجا برم
tamaame melat haaye jahaan ke garmaayeshe jahaani raa zire do darajeye selsiyoos negah daashte boodand.	تمام ملتهای جهان که گرمایش جهانی را زیر دو درجه سلسیوس نگه داشته بودند
ye moosh too kaabinet didam.	یه موش تو کابینت دیدم
oon zan ro khaak mikardi?	اون زن رو خاک می کردی؟
raahe digari ke doog be kaarkonaan ehsaase arzesh daad va be aan haa neshaan daad ke tavajoh mikonad in bood.	راه دیگری که دوگ به کارکنان احساس ارزش داد و به آنها نشان داد که توجه میکند این بود
bazi vaghtaa khodam oonjaam.	بعضی وقتها خودم اونجام
to chikaar mikhaay bokoni?	تو چیکار میخوای بکنی؟
aan haa aayandeye moshtarakemaan raa dar dast haayeshaam daarand.	آنها آیندهٔ مشترکمان را در دستهایشان دارند
yaa ye ehaanate baavar nakardani.	یا یه اهانت باورنکردنی
intori bishtar haal mide.	اینطوری بیشتر حال میده
oh in aslan khoob nist.	اوه این اصلا خوب نیست
vali chizi ke vaaghean eraae daadam kheradi bood ke be khoobi kasb karde boodam.	ولی چیزی که واقعاً ارائه دادم خردی بود که به خوبی کسب کرده بودم
oon mesle baghiye mardom nist.	اون مثل بقیه مردم نیست
cheghadr laazeme baraaye . .	. . چقدر لازمه برای
nemidoone maa avazesh kardim.	نمی دونه ما عوضش کردیم
aare. az haraaji kharidamesh.	.آره. از حراجی خریدمش
chetor be nazar mirese vaghti.	چطور به نظر میرسه وقتی
be onvaane mashoogheye man.	به عنوان معشوقه من.
baraaye rishe kaniye faghr, salaamat, aamozesh va ghazaa.	برای ریشهکنی فقر، سلامت، آموزش و غذا
- ghabl az gereftane toop bood.	قبل از گرفتن توپ بود-
va be manzoore fahme aan az tamaame zavaayaa va be manzoore anjaame kaamel va doroste yek kaar.	و به منظور فهم آن از تمامی زوایا و به منظورانجام کامل و درست یک کار
lenge kafsh partaab kardan va.	لنگه کفش پرتاب کردن و
man intori fekr nemikonam.	من اینطوری فکر نمیکنم
man peyghaamesh ro paak kardam.	من پیغامش رو پاک کردم
aare be jaaye aabe paaki, aabe aaloo khoshk rikhtin.	اره به جای اب پاکی،اب الو خشک ریختین
ahdaafe omidvaar konandeye ejtemaai va eghtesaadi raa be tore jedi dar nezaami hayaat pazir bar rooye zamin donbaal mikonad.	اهداف امیدوارکننده اجتماعی و اقتصادی را بطور جدی در نظامی حیاتپذیر بر روی زمین دنبال میکند
momken ast marze moshtarak daashte baashim.	ممکن است مرز مشترک داشته باشیم.
aare, mablaghesh kheyli ziyaade.	آره ، مبلغش خیلی زیاده
va dar raastaaye tosiye haaye moshaaverati mitavaanid aan raa bedoone naam tahvil dahid.	و در راستای توصیههای مشاورتی میتوانید آنرا بدون نام تحویل دهید
va hamintor ke be tahghogh edaame daadim.	و همینطور که به تحقیق ادامه دادیم
mikhaastand donyaa raa taghir dahand.	میخواستند دنیا را تغییر دهند
banaabarin agar kaarfarmaa jedan mosamam be taghir baashad.	بنابراین اگر کارفرما جدا مصمم به تغییر باشد
dar edaame mashroohe sohbat haaye kapitaane time meliye vaalibaale baanovaan baa khabarnegaare varzesh se raa mikhaanid.	در ادامه مشروح صحبت های کاپیتان تیم ملی والیبال بانوان با خبرنگار ورزش سه را می خوانید
in kaare yek bacheye mahdekoodaki ast.	این کار یک بچه مهدکودکی است
emrooz sobh ke tebghe mamoolbaraaye boridane andaazeye mogharariye choob ba jangal miraftam.	امروز صبح که طبق معمول برای بریدن اندازه مقرری چوب به جنگل میرفتم
makhsoosan vaghti chand nemooneye barjeste bebinim ke dar mokaaleme ghaaleb hastand.	مخصوصا وقتی چند نمونهی برجسته ببینیم که در مکالمه غالب هستند
raahe hal haayi ke be javaanaan forsate mobaareze baraaye aayandeshaan raa bedahad.	راهحلهایی که به جوانان فرصت مبارزه برای آیندهشان را بدهد
in haa hame mahaarat haayi ast ke yek keshvar niyaaz daarad.	اینها همه مهارتهایی است که یک کشور نیاز دارد
in maskhare tarin chiziye ke taa haalaa didam.	این مسخره ترین چیزیه که تا حالا دیدم
vahid oon eynak maale kiye?	وحید اون عینک مال کیه؟
begoo ke hamishe dar kenaarami.	بگو که همیشه در کنارمی
daaneshe pardaazeshiye man darbaareye "chegoone kaar haa raa anjaam midahid"?	دانش پردازشی من درباره «چگونه کارها را انجام میدهید؟»
daghighan, chetori donbaaleshi?	دقیقا ، چطوری دنبالشی؟
na, too daftar kaare oon.	.نه ، تو دفتر کار اون
kasi raa daasht.	کسی را داشت
to vaase man kaar nemikoni.	تو واسه من کار نمی کنی
in kaaro behtar nemikone.	.این کارو بهتر نمی کنه
baa sarfe vaghte bishtar dar aanjaa, dayaaftim ke momken ast.	با صرف وقت بیشتر در آنجا، دریافتم که ممکن است
baraavarde kardane niyaaz haayeshaan masaleye bozorgi ast.	برآورده کردن نیازهایشان مسئله بزرگی است
ghashang andaaze ye mosaaferat khastegi ro az tanet khaarej mikone.	قشنگ اندازه یه مسافرت خستگی رواز تنت خارج میکنه
kolooche baadaami daare.	.کلوچه بادامی داره
too kelaasemoon fazaaye kheyli khoobi bood taghriban hame baa ham raahat boodim.	تو کلاسمون فضای خیلی خوبی بود تقریبا همه با هم راحت بودیم
miliyoon haa nafar az faghr khaarej shodeand, vali baa fadaa kardane fazaaye amaliyaatiye amn bar rooye zamin.	میلیونها نفر از فقر خارج شدهاند، ولی با فدا کردن فضای عملیاتی امن بر روی زمین
chizi ke mikhaaham shomaa raa dar aan yaari daham.	چیزی که میخواهم شما را در آن یاری دهم
kibordam dame dast nist.	کیبوردم دم دست نیست
shakhsan, be che kasi mitavaanid moraajee konid taa yek raabeteye morabigariye do jaanebe raa khalgh konad?	شخصا، به چه کسی می توانید مراجعه کنید تا یک رابطه مربیگری دوجانبه را خلق کند؟
maraasem baa shokooh bargozaar mishe va hame baabaa haa miyaan.	مراسم با شکوه برگزار میشه و همه بابا ها میان
arzeshe sahaame sherkat be taazegi be nesf reside bood.	ارزش سهام شرکت به تازگی به نصف رسیده بود
nemidoonam. kaaraaye zanoone.	نمی دونم. کارای زنونه
baa joziyaat harche bishtar, aan vaziyat raa tosif konid.	با جزییات هر چه بیشتر، آن وضعیت را توصیف کنید
too aashpazkhaane miz nabood?	تو آشپزخونه میز نبود؟
mitoonam roo moblet bekhaabam?	میتونم رو مبلت بخوابم؟
va baraaye in ke be jahaan neshaan dahim cheghadr gheyre vaaghei ast.	و برای اینکه به جهان نشان دهیم چقدرغیر واقعی است
manam khoshhaalam ke bargashti.	منم خوشحالم که برگشتی
ann haa makhsoosan darbaaye aayandeshaan negaraan hastand.	آنها مخصوصاً درمورد آیندهشان نگران هستند
aayaa oo dooste saadegh va motmaene digari daasht taa harfhaayash raa baa oo dar miyaan bogzaarad?	آیا او دوست صادق و مطمئن دیگری داشت تا حرفهایش را با او در میان بگذارد؟
amaa dar morede ensaan haaye khoob chetor? aayaa nezaakat tasiri daarad? bale daarad.	اما در مورد انسانهای خوب چطور؟ آیا نزاکت تاثیری دارد؟ بله دارد
vaghti yekishoon barmigarde.	وقتی یکیشون بر می گرده
ketaabe jaamee esme koodakaan.	کتاب جامع اسم کودکان.
ey kaash eshtebaah mikardam.	ای کاش اشتباه می کردم
taghriban khord too sooratam.	!تقریبا خورد تو صورتم
vaghti aan haa dar markaze rahbaraane khalaagh boodand.	وقتی آنها در مرکز رهبران خلاق بودند
vaghti kasi baa shomaa sohbat mikonad payaam bedahid.	وقتی کسی با شما صحبت میکند پیام بدهید
man in model ta'aamole miyaan nasli raa baa loraa va time derakhshaane oloome daadehaayemaan tajrobe kardam.	من این مدل تعامل میاننسلی را با لورا و تیم درخشان علوم دادههایمان تجربه کردم.
nasle azimi az javaanaan dar shorofe be ers bordane donyaaye maa hastand.	نسل عظیمی از جوانان در شرف به ارث بردن دنیای ما هستند
agar be in bohraan haa negaah konid mifahmid ke fori hastand.	اگر به این بحرانها نگاه کنید، میفهمید که فوری هستند
garm va shaayeste, doostaane va baahoosh.	گرم و شایسته، دوستانه و باهوش
forsat va sedaaye bishtari mikhaahand, ke betaavaanand jam shavand va be hamdigar komak konand.	فرصت و صدای بیشتری میخواهند، که بتوانند جمع شوند و به همدیگر کمک کنند
yaa shaayad jomle nesbatan jadid ast.	یا شاید جمله نسبتا جدید است.
footbaal dasti vojood daashte.	فوتبالدستی وجود داشته
aaghaaye hoseyni raaje be khoonatoon mota'asefam.	اقای حسینی راجع به خونه تون متاسفم
do taa belit be laas vegaas.	دو تا بلیط به لاس وگاس
be hamin dalil vey raa ghorbaani nakardand va aazaad shod.	به همین دلیل وی را قربانی نکردند و ازاد شد
hame vahshat mikonand va har kas baraaye ghaayem shodan be gooshei miravad.	همه وحشت می کنند و هر کس برای قایم شدن به گوشه ای می رود
bedin tartib agar saazmaan haa baa maa hamkaari konand.	بدین ترتیب اگر سازمانها با ما همکاری کنند
baraaye khodemoon nigah midaarim.	برای خودمون نیگه داریم
belit baraa baaziye jet daarim.	بلیط برا بازی جت داریم
ke tooye oon ye bache hast.	که توی اون یه بچه هست
man daaram behesh fekr mikonam.	من دارم بهش فکر میکنم
in ravesh taghriban tavasote hich kas ejraa nemishe.	این روش تقریباً توسط هیچكس اجرا نمیشه
aahaay shomaa haaletoon khoobe?	آهای شما، حالتون خوبه؟
injaa ye mohit kaariye va.	اینجا یه محیط کاریه و
beshin maadar. beshin beram baraat chaayi biyaaram.	بشین مادر. بشین برم برات چایی بیارم.
be in navaar haa negaah kon.	به این نوارها نگاه کن
dar kamaale ja'ajobe hame, ghol daad ke ozr khaahi konad va depaartemaane A raa monhal saazad.	در کمال تعجب همه، قول داد که عذرخواهی کند و دپارتمان A را منحل سازد
zahmat nakeshin moones khaanom nemikhorim be khodaa hichi.	زحمت نکشین مونس خانم نمی خوریم بخدا هیچی.
aare be nazar manteghi miyaad.	آره به نظر منطقی میاد
hey, bebin, goosh kon.	هی ، ببین ، گوش کن
man javaabe shomaa ro nemidam asaabet kharaabe.	من جواب شما رو نمی دم اعصابت خرابه.
tanhaayi va sokoot roo pishooni man hak shode.	تنهایی وسکوت رو پیشونی من حک شده
too esfand shahr khoshhaale.	تو اسفند شهر خوشحاله
nabarde yek shakhs alayhe yek keshvar.	نبرد یک شخص علیه یک کشور
be ghadri baa adab harf mizad va hey mazerat khaahi mikard ke roo mokhe man bood.	به قدری با ادب حرف میزد و هی معذرت خواهی میکرد که رو مخ من بود
shaayad be in khaater ke.	.شاید به این خاطر که
nemikhaast bache daar beshe.	.نمی خواست بچه دار بشه
mayk khoobe faamilesh chiye?	مایک خوبه فامیلش چیه ؟
ye shahre makhroobe shode.	.یه شهر مخروبه شده
in voroose siyaasi, pas az nofooz, be aaraami doshmane khod raa az daroon naabood mikard.	این ویروس سیاسی، پس از نفوذ، بهآرامی دشمن خود را از درون نابود میکرد
az jomle edeaa haayi.	ازجمله ادعاهایی
khodam raa yek maargaaret mide emroozi dar miyaane nasle javaan tasavor kardam.	خودم را یک مارگارت مید امروزی در میان نسل جوان تصور کردم،
injaa chekaar mikonid?	اینجا چه کار می کنید؟
khabar reside, pedar shohar eftekhaar daadan va raftan tehraan.	خبر رسیده،پدرشوهر افتخار دادن ورفتن تهران
amaa midoonam hich vaght nemishe.	اما میدونم هیچوقت نمیشه!
